tekst;kat
En lastbil har påkørt flere personer på en central shoppinggade i Stockholm. Følg udviklingen på dr.dk her:;NORMAL
En ny bydel opstår i Herning midtby, når Region Midtjylland i 2020 flytter Regionshospitalet Herning til til nye hospital DNV-Gødstrup. - Det er positivt, spændende og en helt unik mulighed for at udvikle byen, siger borgmester Lars Krarup fra Herning Kommune.;NORMAL
En person er angiveligt blevet anholdt.Følg udviklingen i Sverige minut for minut her:;NORMAL
En protest, et opråb og et lilletrommeslag, der ændrede musikhistorien for altid. Bob Dylan er et rockgeni! ????;NORMAL
En sten med helleristninger, som Bornholms Museum har fundet ved Vasagård syd for Åkirkeby, har betydet, at danmarkshistorien er blevet skrevet om. Hidtil har der stået bronzealder på helleristningerne - nu kan der pludselig lægges 1.000 år til, for de ældste helleristninger er fra bondestenalderen.Og det er foreløbig kun på Bornholm, det med sikkerhed er lykkedes at bevise, at de ældste helleristninger er fra bondestenalderen, der varede frem til 1700 før Kristus.#endelafhistorien;TEMA
En stenblok med ti lodrette linjer hieroglyffer er blandt fundene i en oldgammel pyramide syd for Kairo.;TEMA
En stor aktion mod narkohandlere har ført til flere anholdelser i rockermiljøet.;NORMAL
En vaskeægte 'hønsetyv' udstyret med en peberspray var i nat på spil i Nordjylland! Heldigvis slap han ikke godt afsted med sit foretagende. Få hele historien her: #PåMedLyden 8-|;NORMAL
Endelig kan vi afsløre det! Formiddag på 4'erens nye vært er: JULIE BERTHELSEN;NORMAL
Endelig kan vi afsløre det! Formiddag på 4'erens nye vært er: JULIE BERTHELSEN;NORMAL
Endelig kan vi afsløre det! Formiddag på 4'erens nye vært er: Julie Berthelsen. ??;NORMAL
ENDELIG!!! ??????;NORMAL
Energiselskaber fra næsten alle EU-lande lover at følge Paris-aftalens anbefalinger og stoppe opførelsen af nye kulkraftværker.;NORMAL
Engang var de i hver en by. Nu er der meget få tilbage.Vi har undersøgt, hvordan det går med posthusene i hovedstaden.Og det har vi fordi vores lytter Annie bad os om det.Har du noget du vil have undersøgt - så send os en mail på hovedstaden@dr.dk#HørHovedstaden;NORMAL
"Er der brug for mere sammenhæng mellem de forskellige dele af det offentlige?Det mener regeringen, der er klar med en ""sammenhængsreform.""";NORMAL
Er det for dyrt at gå til tandlægen? Ja, siger professor Palle Holmstrup fra Tandlægeskolen.;NORMAL
Er det for dyrt at gå til tandlægen?Ja = ??Nej = :(;NORMAL
Er det her en smart idé? ??;NORMAL
Er det i orden at holde sit barn hjemme fra skole, når børnene skal testes i de nationale test? Det mener Jeppe Søe, der holdt sin søn hjemme, da eleverne i 2. klasse på Nørholm Skole forleden skulle testes.;NORMAL
Er det i orden at holde sit barn hjemme fra skole, når børnene skal testes i den nationale test?;NORMAL
Er det også altid de gule vingummier, der ligger tilbage i jeres slikskål?????;NORMAL
Er det ok, at din læge spørger ind til dine ryge- og drikkevaner, når du alligevel er mødt op til en konsultation?;NORMAL
Er du enig i Folketingets beslutning om at fjerne det obligatoriske helbredstjek af ældre bilister?;NORMAL
Er du enig med Haifaa Awad? (Via Debatten - DR);NORMAL
Er du klar til at en omgang gåsehud?Mattias Kolstrup fra skivebandet Dúné synger Gasolins 'Masser af succes' sammen med DR PigeKoret.;NORMAL
Er du klar til lidt Shakespeare romantik?I aften viser vi klassikeren 'Romeo og Julie sat op som ballet på det Det Kongelige Teater.;NORMAL
Er du ridderen på den hvide hest? Eller konge af stenalderen? Fortæl os hvilken del af historien du gerne ville have oplevet på egen krop.Skuespiller Lars Mikkelsen, der har været igennem hele historien på seernes vegne, ville gerne have levet i oplysningstiden – hvis han var blandt de rige altså..?? #HistorienOmDanmark;TEMA
Er du tilfreds med programmet?;NORMAL
Er du tilfreds med årets program?I dag er bandet The XX filføjet til toppen af plakaten ved siden af navne som The Weeknd, Foo Fighters, The Arcade Fire og Justice.;NORMAL
Er du træt af løse hunde? Så er der godt nyt.;NORMAL
Er du tynget af pligter? Kasper Harboe har lært at elske dem.;NORMAL
Er du tynget af pligter? Kasper Harboe har lært at elske dem.;NORMAL
Er du tynget af pligter? Kasper Harboe har lært at elske dem. :);NORMAL
Er I aktive i en idrætsforening hjemme hos jer? ????Frygten for, at længere skoledage ville stjæle medlemmer fra idrætsforeningerne, har vist sig ikke at holde stik.;NORMAL
Er løsningen på kriminalitet en strammere retspolitik? Søren Pape Poulsen var i Deadline - DR for at snakke om straf og kriminalitet.;NORMAL
Er manus beskidt???;NORMAL
Esbjerg ENERGY kom rigtig godt fra start i DM-finalen.3-2 vandt holdet hjemme over Gentofte.;NORMAL
Et af børnene er hårdt kvæstet.;NORMAL
Et af de sikre forårs- og ikke mindst påsketegn, er påskelammene. Og dem kan man opleve flere steder i hovedstadsområdet netop nu.Skal du ud og klappe de små? ??;NORMAL
Et kroophold i Skagerak eller en tur til Irak?Flere og flere unge pjækker fra session. Derfor kommer der nu nye og attraktive lodder i Forsvarets tombola.Via P3 - DR;NORMAL
Et vigtigt skridt i jagten på liv på en anden planet.;NORMAL
Facebook vil i mange tilfælde deaktivere profiler og konti, hvis den slags indhold er blevet delt.;NORMAL
Faktisk skyder vi langt forbi.;NORMAL
Falske nyheder skal bekæmpes med god journalistik, lød det i dag på en konference i København. I Rusland forsøger netmediet The Insider at rette den misinformation, der kommer fra styret. Det fortalte redaktøren Roman Dobrokhotov i DR2 Dagen:;NORMAL
Fangede du ikke første afsnit af 'Historien om Danmark' i flimmerkassen i går, kan du streame den på DRtv lige her:#endelafhistorien;TEMA
Farlig røg i Hedensted. Gå indendøre. Luk døre og vinduer og sluk for ventilationsanlæg, og følg på DR eller TV2.;NORMAL
Farvandene omkring Danmark har de bedste betingelser i verden for at finde fund fra fortiden.;TEMA
Fem strippere på stribe, to drag queens og en ork på stylter står klar til at gelejde rundt;NORMAL
Festersen banker OB op på andenpladsen i puljen og OB vinder 3-0 over Esbjerg! Kan der skimtes europæisk i næste sæson? ??;NORMAL
"Fik du også morgenkaffen galt i halsen, da der pludselig blev talt tysk i din radio? Der var en mening med galskaben. ?? Vi leger: Hvad nu hvis et flertal havde stemt tysk i 1920? Så ville Sønderjylland have en tysk radio. Os nord for kongeåen ville selvfølgelig være ""sluppet"". #HistorienOmDanmark";TEMA
Filmen handler om en af det 20. århundredes største masseflugter - dagene omkring den 10. maj 1940, hvor tyskernes invasion af Frankrig fordrev otte mio. mennesker fra deres hjem.;TEMA
Finansminister Kristian Jensen erkender, at han ikke kan samle flertal for regeringens boligskatteudspil. Han vil nu arbejde på en ny plan.;NORMAL
Fire drenge fra Ry bliver tiltalt for særdeles farlig vold, men anklagemyndigheden går ikke efter dom for drabsforsøg.;NORMAL
Fire døde, 15 såret.- I kan ikke kue os, I kan ikke styre vores liv, I kommer aldrig nogensinde til at vinde.;NORMAL
Flere danskere risikerer at miste deres penge.;NORMAL
Flere medier har takket nej til at vise Jan Grarups krigsbilleder af døde børn og folk med afskudte hoveder.Er det den rigtige beslutning? Eller er billederne en nødvendighed for at forstå, hvad der foregår?;NORMAL
Flere og flere landmænd omlægger til økologi. Især i Nordjylland.;NORMAL
FN og Dansk Flygtningehjælp håber, at en konference i Bruxelles kan skaffe hjælp til Syrien.;NORMAL
For 1500 år siden var Lejre tæt på at blive Danmarks hovedstad. Men så kom Harald Blåtand, og han ville gøre danskerne kristne fremfor hedninge. Derfor blev Lejre, droppet som hovedstad til fordel for det kommende København.;TEMA
Forestil dig at blive tortureret og derefter blive tvunget til at torturere og dræbe andre!Thure tager til Uganda og møder tidligere børnesoldater, der som børn blev bortført af guerillahæren The Lord's Resistance Army.;NORMAL
Forfatter Hanne Vibeke-Holst fik i dag overrakt Ordkraft-prisen for sin evne til at fortælle den gode historie, for et stort samfundsengagement og for sit alsidige arbejde med romaner, noveller, essays, børnebøger, manuskripter, teaterstykker og mere til. Tillykke!;NORMAL
Forsvarsadvokat i Ry-sagen har i dag fået besked om, at retssagen begynder 18. april.;NORMAL
Forsvarsadvokaterne har bedt Retten i Horsens om forlænget varetægtsfængsling.;NORMAL
Foråret er havetid, men også øm i kroppen og sår på fingrene tid. Vi jagter dine ømme forårsfornemmelser //Thomas & Christina, hvis klatreroser har sat sine mærker på hænder og arme :-);NORMAL
Fra på mandag er Sønderborg Slot - Museum Sønderjylland klar med et nyt udfordrende rollespil, der går ud på at befri Christian 2., der sidder fanget på Sønderborg Slot i 1533. Der skal både knækkes koder, findes nøgler og åbnes skjulte rum. ??  Projektet er en del af DR's historiesatsning 'Historien om Danmark'.;TEMA
Fra visdom og ro til oprør til hip hipster - skægget har gennem tiden signaleret lidt af hvert.;TEMA
Frem med solcremen ?;NORMAL
Frygten for, at længere skoledage ville stjæle medlemmer fra idrætsforeningerne, har vist sig ikke at holde stik, siger DIF.;NORMAL
"Fuck dig, ""Grimme luder"", ""Dumme svin"".Oplever du, at tonen sommetider er for hård på Facebook?";NORMAL
Fuck dig, din luder!En gruppe elever fra 1.g på Hasseris Gymnasium & IB World School råbte skældsord til hinanden på gaden midt i Aalborg i dag.Heldigvis havde de grimme ord et formål.;NORMAL
Færre køer i stalden og nyt lys i loftet. Torsten Wetche er økologisk landmand og har sin helt egen klimahandlingsplan for at nedbringe CO2-udslippet fra sit landbrug. ??;NORMAL
Følg situationen her!;NORMAL
Følg situationen her.;NORMAL
Følg situationen her.;NORMAL
Få hele historien om el-bilen Hope Whisper, der kom til verden på den gamle tommestok-fabrik i Als ved Hadsund og endte sine dage med et ordentligt brag! ????;NORMAL
Galt eller genialt?;NORMAL
Gerningsmanden bag det blodige angreb i Sankt Petersborg er angiveligt identificeret.;NORMAL
Giftangrebet i Syrien har foreløbig kostet 72 mennesker livet - heraf mindst 20 børn. Og netop dette angreb har medført kraftig fordømmelse fra verdenssamfundet - selv om krigens love er blevet brudt masser af gange i den syriske borgerkrig. Seniorforsker Helle Malmvig gav et bud på en forklaring i DR2 Dagen.;NORMAL
Gjorde Trump det rigtige, da han i nat angreb Assads luftvåben efter seks års borgerkrig?Se med kl. 20.00, når vi sender en ekstra omgang Debatten - DR om angrebet i Syrien.;NORMAL
Glæder du dig også? ??;NORMAL
God weekend fra verdens sejeste Kylling! ???? #børnetime;NORMAL
Godt nyt: Færre unge kommer alvorligt tilskade i trafikken. En af dem, der holder foredrag for at advare unge om fart er 33-årige Daniel Bartels Borup. Et sving en novemberdag tilbage i 2001 har nemlig for altid ændret hans liv.;NORMAL
Greve Christian Ahlefeldt-Laurvig-Lehn fra Hvidkilde Gods har besluttet at give godset videre til sin søn, og det ser ud til at være rigtig god timing.;NORMAL
Gør hjælpsom teknologi os dovne og stjæler færdigheder fra os?;NORMAL
Gaaaaab, hvor er det kedeligt!Sådan er der sikkert nogle skoleelever, der tænker, når der står fysik, kemi, biologi eller matematik på skoleskemaet. Men i Herning Kommune vil en del af undervisningen nu flytte ud på nogle af egnens virksomheder. I dag var skolelærerne derfor på virksomhedssafari for at kickstarte samarbejdet mellem folkeskole og virksomheder - bl.a. hos Vildbjerg Tekniske Værker.;NORMAL
Han blev erklæret død i halvandet minut, før redningsfolk fik gang i hjertet igen.;NORMAL
Han er tilbage! :);NORMAL
Han er under overvågning, for han har fået et gult kort, lyder det fra Dansk Folkepartis gruppeformand, Kristian Thulesen Dahl. Efter et gigantisk stormvejr får den vestjyske miljø- og fødevareminister altså lov til at blive siddende på taburetten.;NORMAL
Han frygter, at USA kun har gennemført et modangreb for ikke at tabe ansigt.;NORMAL
Han stillede sig instinktivt foran lastbilen for at hindre den i at køre væk.;NORMAL
Hans far spørger nu: Hvorfor blev min søn sendt hjem fra hospitalet?;NORMAL
Hans Petersen og Mathias Baadsgaard-Lund døde begge af smitsom meningitis, efter at sundhedsvæsnet fejlede i behandlingen af dem. Nu kæmper drengenes forældre for, at fejlene ikke gentager sig.;NORMAL
Har du eller dit barn også gjort det?;NORMAL
Har du en bestemt begivenhed eller detalje i dit liv, som har sendt dig i en helt anden retning, end du havde regnet med? Så vil vi meget gerne høre fra dig her på DR P4 Nordjylland. Skriv i kommentarfeltet eller send os en mail på nord@dr.dk.;NORMAL
Har du haft besøg af velvillige, udenlandske håndværkere, som lynhurtigt kan reparere diverse småting på dit hus - for meget små penge?;NORMAL
Har du jævnligt ondt i maven? Op mod 1 million danskere har ofte ondt i maven, og derfor har vi sat os for at finde ud af, hvordan tarmene egentlig fungerer. Og hvad der gør dem syge i denne uges temalørdag.Se med på lørdag, når vi holder Tarmlørdag på DR 2 fra kl.20.00.;NORMAL
Har du også så travlt, at det er svært at nå at spise? Så har vi løsningen til dig!SKÆGPESTO er en lækker snack til dem der er på farten. Og den nyeste trend inden for mandepleje!;NORMAL
Har du prøvet at være kastebold i sundhedssystemet?OUH Odense Universitetshospital - Svendborg Sygehus har forsøgt sig med at tilknytte en fast læge til kræftpatienter. Nu vil Danske Regioner udbrede modellen til resten af landet.;NORMAL
Har du styr på de danske søhelte?Det sidste afsnit af 'Sømand af verden' sætter fokus på den danske krigsførelse til søs. Se med i aften kl. 20.30.;NORMAL
Har du styr på udluftningen?;NORMAL
Har du tænkt over, hvor de dyreste godser ligger i landet? Nu kan du se nærmere på, hvem der ejer godserne, og hvad de er vurderet til. Bregentved Gods i Haslev indtager for eksempel førstepladsen med en værdi på 951 millioner kroner.;NORMAL
"Hele ugen kan skoleelever blive kloge på ""Historien om Danmark"" ved hjælp af virtual reality-briller og historiske begivenheder på greenscreen. Mandag besøgte eleverne Nyborg Slot.";TEMA
Hillary Clinton har brugt lang tid på at fordøje, at 53 procent af de hvide kvinder i USA stemte på Donald Trump.;NORMAL
'Historien om Danmark' med Lars Mikkelsen som vært, søger statister til at spille afrikanske slaver på et skib. Er det noget for dig, så kan du læse mere her.;TEMA
Hjerneforskeren stiller op for Konservative.;NORMAL
HJÆLP OS MED AT LAVE EN GUIDE: Hvis vi skulle vise et stort statsoverhoved rundt i Nordjylland - hvor ville du så tage ham eller hende med hen? ?;NORMAL
Holdet bag ’Historien om Danmark’ måtte tage kampen op med det islandske landskab for at få istids-scenerne i hus.;TEMA
Hr. og fru Sønderborg Sommer Revy - Leif og Johnna Maibom - præsenterede i dag revyens kommende direktører. Det bliver ægteparret Jeanne Boel og Klaus Kristensen. ??;NORMAL
Hun kom med et dårligt knæ - men på sygehuset, Hospitalsenheden Vest fik hun også et helt andet råd.;NORMAL
Husk en stor madpakke, når du skal i lufthavnen :);NORMAL
Husk solcremen ?;NORMAL
Husker du solcremen?;NORMAL
Hvad er bedst? Den gamle Nokia 3310 eller den nye Nokia 3310?So Ein Ding - DR er taget på konference for at teste, om den nye model kan måle sig med den gamle.Se med torsdag kl. 19.30 eller lige nu på DRTV.;NORMAL
Hvad er din 2025 plan? Du har vel styr på din karriere? Iværksætterne lægger planer for fremtiden.;NORMAL
Hvad er en sanger uden sin stemme? Sydfynske Sebastian Lind røst var pludselig hæs. Nu har han lært at passe på sit vigtigste instrument og vender tilbage med ny single. #fynskkulttur;NORMAL
Hvad gør man, når ens mor, far eller ægtefælle bliver dement og man måske skal overbevise ens nærmeste om, at det er nødvendigt at sige farvel til kørekortet og bilen..?Det dilemma står flere og flere familier i. Har du eller nogen du kender oplevet den situation?;NORMAL
Hvad nu, hvis København ikke var blevet hovedstad? En række lokalhistorikere giver her et bud på, hvilken by i deres område, der kunne være blevet Danmarks by nummer 1.;TEMA
Hvad nu, hvis København ikke var blevet hovedstad? En række lokalhistorikere giver her et bud på, hvilken by i deres område, der kunne være blevet Danmarks by nummer 1.#endelafhistorien;TEMA
Hvad synes du om forslaget?;NORMAL
Hvad synes du om forslaget?;NORMAL
Hvad synes du om programmet?;NORMAL
Hvad synes du om valget?;NORMAL
Hvad synes du om valget? :);NORMAL
Hvad vejer du, sådan helt ærligt? ??(via. DR3);NORMAL
Hvad vejer du? Altså sådan helt ærligt ...I anledning af vores nye program 'Petra elsker sig selv' ser vi på, hvordan man lærer at elske sin krop - uanset hvordan den ser ud, og hvad badevægten viser.;NORMAL
Hvem elsker ikke karamelrand? På tirsdag kan du se første afsnit af 'Spise med Price i København' på, hvor de to brødre blandt andet laver Mormors karamelrand på toppen af Rundetårn. Du kan se med på tirsdag klokken 20.00;NORMAL
Hvem har det ligesom Bamse med foråret? ????;NORMAL
Hvem splittede op og hvem blev sammen efter 'Gift ved første blik' nåede sin ende? Få overblikket her.;NORMAL
Hvem var det - der vandt i dag, det var dem fra Esbjerg af... :-);NORMAL
Hverken Ib Poulsen (DF) eller Simon Kollerup (S) er begejstrede for Esben Lunde Larsens ministerarbejde. Bør de få ham til at trække sig - hvad mener du?;NORMAL
"Hvilke irriterende ord eller vendinger synes du, vi skal udrydde? Vi prøver at slippe af med de værste, inden den store ordfestival ""Ordkraft"" begynder i Aalborg i weekenden.";NORMAL
Hvilken ansigtsmaske bruger Egtvedpigen - og snyder Grauballemanden, når han spiller Wordfeud? :);TEMA
Hvilken Bob Dylan-sang holder du mest af?Radiovært Carsten Holm guider til fem af den koncertaktuelle musikers bedste sange.;NORMAL
Hvilken by ses mon her i midten af 1950'erne?#gæthvor;NORMAL
Hvilken by skulle ha' været Danmarks hovedstad - efter din mening?;NORMAL
Hvilken Kim Larsen-sang er den største klassiker?I dag udkommer den folkekære musikers første album i flere år.;NORMAL
Hvilken periode i Danmarkshistorien ville du gerne besøge?;NORMAL
Hvilken rolle er Ghita Nørbys bedste? Ifølge forfatteren Niels Birger Wamberg har hendes største roller været disse:;NORMAL
Hvilken rolle, synes du, har været Nicholas Cages bedste?I aftenens filmperle spiller han Joe, der har en kriminel fortid og et heftigt temperament. Han gør sit bedste for at holde sig i skindet og undgå problemer - indtil han møder den 15-årige Gary. Se med i aften kl. 21.30.;NORMAL
Hvilket nummer sang du med på foran spejlet? ??;NORMAL
Hvis du har et overvågningskamera derhjemme, så husk altid at få ændret dit password med det samme.;NORMAL
Hvis gutterne fra 'Rigtige mænd - det nye hold' er lige så gode til at træne, som de er til at synge, så kan det kun gå godt. Skal du se med i aften klokken 20.00?;NORMAL
Hvis russerne var blevet på Bornholm i 1946, havde det bornholmske flag nok set anderledes ud.Museumsinspektør Jakob Seerup fra Nationalmuseet har leget lidt med farver i et forsøg på at forestille sig, hvordan et fusioneret sovjettisk og bornholmsk flag kunne have set ud...#endelafhistorien;TEMA
Hvis sommerhuset styrter i havet på grund af kyst-erosion, skal det ikke kunne udløse erstatning, som hvis huset oversvømmes under en stormflod.Begrundelsen fra udvalget er, at man kan forudsige og forberede sig på kyst-erosion, men ikke på en stormflod.;NORMAL
Hvis tyskerne var blevet på Bornholm, dengang øen var pantsat til lybækkerne tilbage i 1500-tallet, havde det lydt noget anderledes, når vi skulle bestille en røget sild i dag.Hvis Printzensköld og hans svenske soldater derimod var blevet i 1600-tallet, havde bornholmsk stort set lydt, som det gør i dag. #endelafhistorien;TEMA
Hvor er det sejt, at du deler din historie med os, Anders! ????;NORMAL
Hvor er det sejt, DR Ultra! ????;NORMAL
Hvor finder man kærligheden?;NORMAL
Hvor kommer du fra? #HistorienOmDanmark er også din historie.;TEMA
Hvor mange penge skal du bruge på din have i år? Det kan let koste en formue at gøre haven grøn og frodig. Fortæl os, hvad det koster dig - og giv os gerne dit allerbedste sparetip ??????;NORMAL
Hvor tit oplever du huller i vejene?I år bruger kommunerne færre penge på at reparere de der irriterende huller.;NORMAL
Hvordan finder man sig selv, hvis ens barndom har været præget af kaos?Performancekunstneren Michael inviterer sin mor ud på et roadtrip for at få svar på en række ubesvarede spørgsmål, der rumsterer i hans hoved.;NORMAL
Hvordan finder man sig selv, hvis ens barndom har været præget af kaos?Performancekunstneren Michael inviterer sin mor ud på et roadtrip for at få svar på en række ubesvarede spørgsmål, der rumsterer i hans hoved. Se DR3-dokumentaren 'Min mor er pink' på DR TV.;NORMAL
Hvordan føles det at miste et barn i trafikken? Ny kampagne vil give fartsyndere dårlig samvittighed.;NORMAL
Hvordan har du det med cover-versioner?Vi kan nu rigtig godt lide Mattias Kolstrup og DR PigeKorets version af 'Masser af succes'. Lyt her.;NORMAL
Hvordan har du det med krimier?I aften kommer den iranske og Oscarvindende 'Sælgeren' under kærlig behandling af Per Juul Carlsen og skuespiller Sara Hjort Ditlevsen. Se med kl. 21.00 i Filmselskabet på DR K.;NORMAL
Hvordan havde livet og troen været på Bornholm, hvis russerne aldrig havde opgivet øen? Det ser vi nærmere på med Danskernes Historie, som den kunne have været... #endelafhistorien;TEMA
Hvordan mon det ville have set ud, hvis moseliget Grauballemanden havde haft en smartphone?Vi har givet et bud :D;TEMA
Hvordan reagerede du?Vi låste redaktionens to største SKAMoholikere inde i studiet før de nåede at se videoen. Her er deres reaktion.;NORMAL
Hvordan skal det danske medielandskab se ud i fremtiden?Kulturminister Mette Bock håber, at almindelige borgere vil hjælpe med at svare på det spørgsmål.;NORMAL
Hvordan var det at leve i stenalderen?Gå på interaktiv opdagelse i en helt almindelig families liv for 6.000 år siden.;TEMA
Hybenbusken er i et sandt stormvejr, og nu bliver den forbudt at sælge. Men den findes stadig i massevis langs den jyske vestkyst. Så midt i buskens shitstorm vil vi gerne overdynge den med en masse kærlighed. Læs mere om forbuddet: http://dr.dk/l/30k;NORMAL
Højrenationalisten Marine Le Pen fik nogle af de største skrammer, da der i aftes var fransk valgdebat.;NORMAL
Håndværkerne er uden for livsfare.;NORMAL
I  intet mindre end 50 år har Savage Rose lavet musik. Det markerer de med en optræden på Roskilde Festival til sommer. Meget er sket, siden Annisette, Anders og Thomas Koppel gav interview i 1968...;NORMAL
I 1964 var hallen i Nyborg fyldt med tilskuere, da badmintonlegenden Erland Kops spillede landskamp mod Sverige. I dag har badmintonsporten fremgang i medlemstallet for første gang i 15 år.;NORMAL
I 1985 bliver 22-årige Will Allen smidt ud hjemmefra, fordi han er bøsse.Uden et hjem at vende tilbage til, bliver han indlemmet i en moderne kult, der er ledet af en falleret filmstatist og pornoskuespiller, hvor han får til opgave at dokumentere gruppens aktiviteter.22 år senere beslutter han sig for at lave en film om sin egen og andre frafaldnes oplevelser.DR2 Dokumania viser 'Kulten fra Californien' tirsdag klokken 20.45.;NORMAL
I 1999 blev den tidligere racerkører Jason Watt lam fra brystet og ned efter en motorcykelulykke. I dag lever han et liv i kørestol. Men med et såkaldt exoskelet prøver han for første gang i 5 år at stå oprejst.Det er i programmet 'Moderne mirakler' i aften på DR2.;NORMAL
I 2015 lærte Onkel Reje os alle, hvordan man tjekker, om æg er ægte?? Vi ønsker alle sangglade børn en glædelig Skolernes sangdag i morgen ????Syng med kl. 10 på DR Ultra!;NORMAL
I aften kan du i programmet 'Vores drenges sidste døgn' klokken 20.45 blandt andet møde Christophers far, som har mistet sin søn til meningitis. Programmet kigger nærmere på om sundhedsvæsenet fejlede, da tre unge drenge har mistet livet som følge af sygdommen.;NORMAL
I aften kan du møde 28-årige Dennis fra Randers, Denmark og hans røde bil, som han hader som pesten. Se om det lykkes Dennis at komme af med bilen, når der er premiere på 'De unge brugtvognsforhandlere' klokken 20.30 på DR1;NORMAL
I aften kan du møde 28-årige Dennis og hans røde bil, som han hader som pesten. Se om det lykkes Dennis at komme af med bilen, når der er premiere på 'De unge brugtvognsforhandlere' klokken 20.30;NORMAL
I aften kan du se den amerikanske thriller 'The Next Three Days' med Russell Crowe, Elizabeth Banks og Liam Neeson. Lara, der spilles af Elizabeth Banks er uskyldigt anklaget for mord og hendes mand John sætter alle sejl ind for at bevise hendes uskyld.;NORMAL
I aften kan du se første afsnit af 'Bag Danmark med Tobias', hvor Tobias er på Anholt. Her møder han Karl Emil, der som den eneste mellem 15 og 29 år er blevet boende på øen. I den anledning får han sig en lille overraskelse. Skal du se med i aften 20.30?;NORMAL
I aften kan du se niende og sidste afsnit af 'Gift ved første blik', hvor de fire par skal beslutte sig for om de vil blive ved med at være gift efter eksperimentet.Du kan se med 20.45 og efter programmet sidder Allan og Pernille klar til at chatte på dr.dk;NORMAL
I aften tager Mette Blomsterberg og James Price til Bernstorff slotspark for at lave mad fra Dronning Louise og Christian d. 9.s bord. Du kan se med i aften klokken 20.00;NORMAL
I aftenens afsnit af 'Spis og spar' kan du møde Tine og Bjarne. Specielt Bjarne er glad for delikatesser i weekenden og dét går ind i mellem hen og bliver en dyr affære. Du kan se med i aften klokken 20.00;NORMAL
I aftenens udgave af 'Kontant' undersøger vi nogle af de mange klager, der er kommet over teleselskabet Telenor og vært Jakob Illeborg forsøger blandt andet at få en forklaring på, hvordan en 88-årig kan blive registreret som dårlig betaler for en router, der beviseligt er blevet returneret. Du kan se med klokken 21.00;NORMAL
I aftes og i nat brændte virksomheden Poca i Hedensted. Virksomheden fremstiller glasfiberbåde, som i stort omfang bliver solgt i Grønland. Her til morgen er der ikke meget tilbage af bygningerne.;NORMAL
I dag i Danskernes Historie leger vi med tanken om, hvad der kunne være sket, hvis tingene var gået anderledes - og hvilket bedre sted at lege med historien end på Christiansø? #endelafhistorien;TEMA
"I denne uge har Miljø- og fødevareminister Esben Lunde Larsen været i politisk stormvejr i en sag om koncentration af fiskekvoter.Derfor har vi gjort dokumentaren ""DR2 Undersøger: Kvotekonger og små fisk"" tilgængelig på DR TV igen. Her følger vi en af Danmarks rigeste fiskere, der ejer kvoter for knap en milliard kroner, for at se om reglerne bliver overholdt.";NORMAL
I disse dage 500 gæster fra hele verden i Aarhus for at lære af byens arbejde med at bekæmpe og undgå radikalisering.;NORMAL
I Esbjerg er Rafael van der Vaart bare 'Estavana Polmans kæreste' :-) :-) Her er det som regel kun Team Esbjergs topspiller, der bliver genkendt på gågaden.;NORMAL
I februar kastede de en flaske brændende benzin på en skolekammerat.;NORMAL
I fremtiden kan du måske blive tilbudt en afføringstransplantation fra unge menneskers tarme og leve længere og bedre.;NORMAL
I løbet af det seneste år har tre teenagedrenge - Hans Petersen, Mathias Baadsgaard-Lund og Christoffer Licht Jensen - mistet livet til smitsom meningitis.I aften forsøger drengenes familier i fællesskab at hjælpe hinanden videre, og forhindre at flere dør af den smitsomme sygdom i dokumentaren 'Vores drenges sidste døgn'.;NORMAL
"I løbet af natten kan du være heldig at se fem planeter med det blotte øje. ?? Find et område væk fra byens lys og håb på klart vejr!  Ekstra info: Venus og Jupiter er nemmest at få øje på, fordi de lyser kraftigt. Merkur vil kunne ses som et svagt lys langt nede mod horisonten. Lyset fra planeterne er mere roligt end det ""blinkende"" lys fra stjernerne. God fornøjelse!";NORMAL
I morgen aften er der premiere på den nye serie 'De unge brugtvognsforhandlere', der handler om unge mænd, der holder danskerne kørende. Du kan se med klokken 20.30 i morgen onsdag.;NORMAL
I morgen aften klokken 20.00 ruller andet afsnit af 'Historien om Danmark' over skærmen. Skal du se med, når Lars Mikkelsen tager dig med indenfor i metallernes tid?;TEMA
I morgen aften ruller første afsnit af 'Bag Danmark med Tobias' over skærmen. Tobias besøger Anholt, hvor han møder 17-årige Carl Emil, der helt usædvanligt er blevet boende på øen, selvom alle andre unge har forladt den.;NORMAL
I morgen sender DR1 andet afsnit af 'Historien om Danmark', som denne gang handler om bronze- og jernalderen - og en af danmarkshistoriens berømtheder: Egtvedpigen.;TEMA
I otte uger skal de Rigtige mænd - DR udsættes for lidt af hvert, og den røde racer 'Rosa' bliver deres trofaste følgesvend. Fra start er stemningen munter, og du kan se meget mere til 'Rigtige mænd - det nye hold' på DR1 i morgen aften klokken 20.00;NORMAL
I otte uger skal de rigtige mænd udsættes for lidt af hvert og den røde racer 'Rosa' bliver deres trofaste følgesvend. Stemningen er munter allerede fra første fløjt og du kan se meget mere til 'Rigtige mænd - det nye hold' i morgen aften klokken 20.00;NORMAL
I sager om 58 patienter er der siden år 2000 tildelt erstatning, fordi sundhedsvæsenet var for længe om at behandle for den frygtede sygdom, smitsom meningitis.;NORMAL
"I stedet vil hun fokusere på, ""hvad der rører sig, og hvad der optager folk"", siger hun til Mennesker og Medier på P1.";NORMAL
