Stream Item Text;KAT
Moren er en ?? over for sin datter Hvad hvælvet har hun hang i ????????;ANDET
Dan Madsen Anderledes ????;ANDET
Heidi Bigum du er vist begge af de store og jeg passer vist meget godt på den lille??;ANDET
Ja det er fandme sjovt :D;ANDET
Maria Rosendahl Hansen ??;ANDET
Jeg syntes der skal være tilsyn med alle steder.  Jeg kan anbefale dig at læse om tilsynet og deres bestemmelser. Der er ingen evidens for at offentlige er bedre end private. Jeg mener ikke at væresteder og privatskoler er underlagt de socialttilsyn.;ANDET
Benedicte det' din chance for at blive Prinsesse Bent ??????;ANDET
Argh! Hvor LÆKKERT! ?? det er noteret ???;ANDET
Eller D. Scarlatti K 141 sonaten;ANDET
Det er dog tvivlsomt at butikkerne vil sænke priserne. Da fedtafgiften blev indført var der en markant stigning med prisen for ost. Men vi fik ikke billigere ost af når fedtafgiften blev afskaffet. På det sidste er prisen på smør steget med omtrent 50% i løbet af sommeren. Gad vide, hvorfor det er sket.;ANDET
“Så er du bare utro med pias kager” HAHAHA, genialt!!!;ANDET
Oliver Junget Tim Mygil-Saraksen Casper Bolette Kjelstrup Nikolaj Wulff ????????;ANDET
DBU skulle nok have satset på pigerne i stedet. Kæft en dårlig og kedelig indsats;ANDET
Annbritt Lamhauge ja hevdi verid quite the show at fari til!!;ANDET
Det er dybt kvindeundertrykkende! Der står ingen steder i Koranen, at kvinder skal bære tørklæde! Det er pga. liderlige muslimske mænd, som finder hår seksuelt ophidsende! Det er tragisk for lige behandling af kønnene, øv;ANDET
Det er jo helt og aldeles rablende! En bølge af massehysteri har grebet om sig og dømmer nu på må og få med det formål, at iscenesætte sig selv på en andens bekostning. Hvorfor komme 30 - 40 år efter og påstå, at man er et offer? Hvorfor er der ikke kommet en anmeldelse fra offeret, kort tid efter hændelsen? Hvorfor hører vi kun om disse hændelser, hvis de er blevet begået af kendte personer som F.eks. Kevin Spacy? Hvad er det mon disse påståede ofre vil opnå? Stop dette usmagelige hysteri!;ANDET
Hahahha ja det var det faktisk ??????;ANDET
"LSE må godt have en sjov tankegang, hvis hendes holdninger til børnechecken skal stå til troende. I stedet for at komme med "" papegøje "" snakken om det hjælper på at få folk i arbejde burde der kigges på om det er nødvendigt at de familier der har over 1 mill. i indtægt skal have børnepenge??";ANDET
Kim Wessmann - sjovt, at du skriver som en NBer -;ANDET
Frederik det er mig med en bold ??;ANDET
Det må være værd at undersøge ??;ANDET
Vores må være meget interessant;ANDET
Freja Andrea Friis Ravn cosplayer om natten, pæn pige om dagen;ANDET
Eller at jer der skriver efter ham er blå øjedeFor naturligvis er der kvinder gør det;ANDET
Ja jeg kunne heller ikke tåle det brækkede mig i Lange baner godt jeg stoppede med det;ANDET
Den har jeg aldrig hørt før, hvor stammer den historie fra?;ANDET
Annette Scheer Kornbeck så kan du øve tale til konfirmation ??;ANDET
sænk lønnen for de rige, så får de den skatte lettelse som de ønsker;ANDET
Sofie Hennecke Mikkelsen Valdemar Hennecke Mikkelsen ????;ANDET
Brian A Pedersen ja det kan være;ANDET
Han er bare sådan “ses”;ANDET
elsker elsker hende :D;ANDET
Saa sandt Henning !;ANDET
Marco Damgaard det er genialt sjovt det her;ANDET
Henrik Reinbach Madsen Torben Reinbach Madsen;ANDET
Psykiske sundhedsproblemer... Jep. Hos NRA. Og de politikere, de har købt. Hurra for lobbyisme.;ANDET
Shit, en samtale! - & så med sin datter!! Jeg er tosset med det ??????;ANDET
Sigurd Vedsted Drejer ahahaha;ANDET
Hej Line Du kan tro jeg lytter med, den 16.  november. Men hvis I hver gang I nævner kommunalvalget også nævnte regionsrådsvalget, ville det måske være med til at mange vælgere siger: Regionsvalget, hvornår er det? Tak for at du vendte tilbage. Mange hilsenerHanne Andersen A nr 7Regionsrådskandidat / Regionsrådsmedlem Region Hovedstaden ??????;ANDET
Åh, det værste er at man kan sætte sig ind i det meste ??;ANDET
Vi er dygtige - og det er din fortjeneste !!????????;ANDET
Det er gjort - bogen til mine kære - er en stor hjælp - mine forældre havde også udfyldt deres og det gør en svær tid men store beslutninger lidt letter at overskue for de efterladte,  når man ved hvad den døde havde af tanker <3 <3;ANDET
"Claus Nicolas Grimm.    Jeg kan altså godt lide dig og dine meninger. Og forstår hvor du vil hen. Held og lykke i kampen mod de "" kloge"".";ANDET
næste skridt, mærkater på tøjet;ANDET
Næh... Det da sejt at vinde så meget...;ANDET
Brian Elnegaard Alette Kastrup Elnegaard;ANDET
Ja bestemt! Det bliver så bare forskudt, for der er jo ROBINSON..;ANDET
Karoline Gammelgaard hvis man skal pjække, skal man se sommeren 92;ANDET
Hvis mine øjne kunne brække sig havde de gjort det fuck hvor genialt;ANDET
Jeg har også før været til bondebal ????Har dog aldrig hængt ud på havnen... Der var jeg åbenbart ikke inviteret ??;ANDET
Stop hvad mine kommentarer eller ordningen ?;ANDET
ik mig. Jeg siger ik at der farligt alle steder omg;ANDET
David Alonge This dude;ANDET
Det er jo fordi jeg er bange for der sker ham noget din nød ??;ANDET
Hvis du færdes regelmæssigt i NV og på Nørrebro vil du hurtigt finde ud af at 3 er et usædvanligt naivt og lavt sat tal.;ANDET
Hahah det er fedt ????;ANDET
"Prøv at tænk dig lidt om, så finder du sikkert svaret ;-)";ANDET
bliver klar...  FCK.... FCK..m;ANDET
Sarah Monica Gaarsvig se hvor sød man er når man hedder Kamma ??????;ANDET
God ide , med de islamist tosser der er må man gøre  noget;ANDET
Århh nej, har jeg så ikke vundet :'(;ANDET
Når basis er på plads og de kan finde ud af at bringe forsendelserne frem uden og gøre dem væk - så det en go idé ?? Det kommer nok aldrig til at ske????;ANDET
Hahahahha hun er for vild??;ANDET
Bræk du bare - men husk der er nogle det har kæmpet for du har en matrikel??;ANDET
"Og statsministeren svarer: "" jeg tror der er valid statistik der viser...""Hvornår er tro blevet til faktuel viden ?";ANDET
Jeg har intet had ti kurderne eller andre folkeværd. Jeg er bare realistisk. I har haft kirkuk i 3 år fordi landet er optaget med at kæmpe isis, men lad os se hvor længe det varer.;ANDET
Jeg tænker mere på det skidt, man får ind i køleskabet til ens madvarer, som har stået i snavset kurv.;ANDET
Intelligent er bestemt ikke, det, der falder mig ind.....så du mener, han er påtaget dum?? Næppe. ';ANDET
Den mand har opbrugt sin tid i kirken han skal fratages enhver ret til at have med børn at gøre samt sin præstegerning er du som pædagog anklaget eller mistænkt for at have gjort slige sager så er du færdig med job det samme må gælde her;ANDET
Skal vi have en?;ANDET
Daniel Kej Poulsen Anders Clausen Jonas Sejr;ANDET
Birger Wulffeld. Hvilken grænse? Og hvorfor skulle noget land tage imod dem?;ANDET
Hyggeligt hils hjemme! Hel og lykke med mavsen??;ANDET
Emil Opfermann Caroline Edoo Sara Ahasverussen Nicoline Sofie Christensen Nikoline BrodersenLærke Voss Hvelplund ??????;ANDET
Og jeg er modstander af teatertorden og intetsigende politiske ideologier!;ANDET
Annette Nielsen jeg har selv fundet på de tal selvfølgelig fordi det er umuligt at finde frem til dem ellers.. sådan nogle midler findes ikk.......;ANDET
Sådan vil jeg vinde alle mine diskussioner fra nu ????;ANDET
"Jeg har skam læst den, men du skriver, at ""Danmark stadig tillader en institution som har et så problematisk forhold til pædofili""Dermed mener du tydeligvis, at kirken generelt har et problem med pædofili.Det er det, jeg gerne vil have dig til at uddybe - Hvis du altså KAN.";ANDET
Mathias Jessen “min børnehave, er bare endnu godere”;ANDET
Marie Engesgaard Bodil Bartroff Johanne Bjergskov Larsen tror lige i skal se det her;ANDET
DR er jo ikke upolitiske!! De har opbakning til statsfinansiering fra de røde partier! Sælg DR!;KLAGE
Fedt, så kan man lade alt det man vil! <3;ANDET
Husk at whiskey ydtales med et rigtigt w :-);ANDET
"Spænd lige sølvpapirshjelmen ;-)";ANDET
Lappe løsning på lappe løsning .. !!;ANDET
Ja,ja men men om kort tid så er der bare nogle andre himmelnisse-tosser som som slår sig samme og slår alle dem ihjel de ikke synes om..!!;ANDET
Det er ikke dyrt, det er vores kirke og kristne kultur, som så mange gerne vil lave om på og ændre, lad os dog beholde vores kristne arv, med præstekjole og hvad der hører til og det er ikke for dyrt, men meget DYREBART <3;ANDET
Emma Olesen Christian Boel desværre nej for vi sidder i en lorte bus;ANDET
Mit ynglings nummer er med Flemming Bamse Jørgensen og er: Jeg elsker kun dig..;ANDET
Ja, ydmyghed er lige dem;ANDET
Hahaha, ikke lige for 40.000 måske ??;ANDET
Det er da endnu mere nedern at lukke så meget lort ud på så få linjer som du gør. men igen, det er jo nærmest en slags præstation.;ANDET
Marianne Loft Jeg tror, du skal læse min kommentar igen - der står ikke noget om farlige sygdomme.;ANDET
Martin henriksen er da nok den sidste Der skal fortælle om at være dansk og om at være et menneske;ANDET
Jeg forstår den ikke lol;ANDET
Pest eller kolera... hmmmm... stemmer blankt på den der??;ANDET
De fleste forældre er sgu selv skyld i de ikke ser deres børn. Ingen er perfekte men man skal sgu også anerkende hvis ens børn har opfattelse af en træls barndom . Man når altså længst med kommunikation og selverkendelse;ANDET
Det er sikkert den yngste i en søskendeflok, som har skrevet artiklen...;ANDET
Må du bare få medhold Jacob ??;ANDET
Jaa, ikke Susi Rebenstorf Bjerrum :P;ANDET
Så er vi to jeg får kvalme hvergang jeg høre ham snakke;ANDET
Linette Lynge Laursen, jeg elsker hende her ??;ANDET
Hahahah?????? udsætter altid min mad for turbulens!;ANDET
Rasmus Grimstrup Olsen Morten Storm Hansen det var tider;ANDET
Er vild med hende??;ANDET
Tom Petty, we hardly knew you;ANDET
Nurg det kan du tro!;ANDET
Hvad med at de undersøgte bygningen med det samme?Nok ikke, Trump er nemlig modstander af Cuba og det vil sikkert passe ham fint at lukke ambassaden.;ANDET
"Vi har også hver vores konto; men med kort og adgang fra begge på begge konti. Vi har ikke en fælles konto; men fælles økonomi.";ANDET
Hahah, helt klart ????;ANDET
den er for genial har grint så meget;ANDET
Det burde seriøst give straf for at udsætte et retsmøde!!!!;ANDET
Nej slet ikke enig med Pil. Uden dem der producere noget og tjener penge til landet samt betaler skat, ingen offentlige ansatte, det har aldrig kunnet lade sig gøre at drive et samfund ved at klippe hinanden, der skal tilføres penge udefra. Og selvfølgelig gør næsten alle de offentlige ansatte et fantastisk stykke arbejde og nødvendigt arbejde, og en del af dem burde få langt mere i løn, det kan de så skyde skylden for på deres fagforeninger, det er ikke os der TJENER penge og betaler skat der har bestemt det.;ANDET
Hahaha ???? nok en der har lidt forklaringsproblemer ????;ANDET
?? ?? ?? ??;ANDET
Michael Brødsgaard Sørensen manden har da helt ret;ANDET
Hahaha, Tess! Hold kæft, hun er god!;ANDET
Pia Eggeling altså er du bare dum eller dummer end dum ?????? hvad har jeg sagt andet end sandheden? Men det typer som dig der ikke kan lide og høre sandheden;ANDET
Så skal man heller ikke investere i ungdoms rækkerne eller den generelle udvikling i fodbold da det også gir underskud. Men bliver fordelt efter en strategi sat ud af DBU. Man kan så diskutere om Mads Øland har opbrugt sine bølle metode kvote. Men da DBU forhandlede med herre landsholdet agerede de også yders amatør agtige.;ANDET
"Abdullah AbdelRahman ... Hvor er Omar henne så jeg kan tagge ham på dette opslag? ... ""OH GOD""...";ANDET
Tjah..lad os tage religionen ud af ligningen, når det handler om ægteskab og fratage alle Imamer, præster og lignende retten  til binde individer sammen i nogen som helst juridisk forstand. Derefter bør vi forbyde alle religiøse trossamfund, der forlanger at selvstændige individer, skal være forbundet på nogen måde længere end de enkelte individer ønsker det.;ANDET
det ser kriminelt ud, og det er der vel regler imod;ANDET
Michael Hansen, Mette Margit Rasmussen, synes ikke rigtig min passer, er sgu ikke kreativ eller grænseoverskridende, men jeres passer meget godt ??;ANDET
Ludomani eller bare mega-nørd! ????;ANDET
"Du er kæreste med en diætist! Søndag og KUN søndag.. Havregryn og gulerødder resten af ugen ;)";ANDET
Martin Pedersen, nej, det er mænd ikke.Kunne du måske prøve med en ordentlig debatstil, eller er det for meget forlangt af dig?;ANDET
Den er vel gået i sig selv, gætter jeg på?;ANDET
Så er julegaven til far sikret;ANDET
Du er så sød ven ?;ANDET
Cæcilie Stage Koll Espensen;ANDET
Så så - pas på dit sprog;ANDET
Dejligt - tillykke model of bureau ????;ANDET
Sune Sylvester Madsen apropos det vi snakkede om den anden dag..;ANDET
For at bruge Nikolai's udtryk.... Det var et KLASSE afsnit :).;ANDET
"Marianne Grann, du skriver selv på din profil - Ja, jeg blev nødt til at se hvilken person der føler sig så hævet i vores samfund, Mirakler sker hver dag!Der sker noget spændende rundt om det næste hjørne!... Mirakler sker hver dag, er du religiøs? For du har lige udtrykt meget klart at du ingen respekt har derom. Jeg synes igen at det er klart du kun er ude efter opmærksomhed, og jeg skal da eftergive at jeg med glæde vil give dig den, med det håb (læs religiøse termer jeg håber du kan forstå) at du bliver et menneske som er klogere på sig selv, og sine rettigheder overfor andre. Lige nu, opfører du dig som om vi andre kører et korstog imod dig, det gør vi ikke.. Vi ""tigger og ber"" om at du kan åbne øjnene og se at du ikke behøver at kalde andre for ugly, du kan såment sige (Hvis du absolut skal udtrykke dig) ""Puha, det var dog et voldsomt udseende, godt for hende hvis hun elsker det"". Men i stedet vælger du det sprog som støder mest muligt. Kan du ikke se at du har overskredet en grænse?";ANDET
Carina Dokkedahl Sørensen læs lige den kommentar;ANDET
Føj for satan ??;ANDET
Thea Lyon Nanna Amstrup Peter Heslop;ANDET
Denne artikel er 2 dage gammel. Der er også noget med ca 70 % - men det er ikke dem, der vil have skåret DR kraftigt ned...https://fagbladet3f.dk/artikel/danskerne-vil-beholde-dr-som-det-er;ANDET
Siger du mens du står ved en polsk bil?Hvordan har landbruget det i andre lande?Dobbeltmoral!;ANDET
hun er en fucking legende;ANDET
Oh god. Imma do it.;ANDET
Hvad skal du bruge noget land som ikke er dit og aldrig vil være dit, til?Alså filosofisk spørgsmål!;ANDET
Kamma?? Victor Elsborg Freja Ravn Alsen;ANDET
Katrine det er så meget dig om 3-4 år;ANDET
Emil Bøgh Borggreen the invisible sexophone og bizniz meeting virker hver gang;ANDET
Morten Wind du skal se showet i morgen ????;ANDET
CSK Stålindustri. Industrivej 7700 Thisted (Arbejde);ANDET
Hvordan kan du så påstå, at du tidligere er blevet blokeret her, når du skrivet, at du er blevet blokeret for livstid?;ANDET
Emma, du har ret. Din analyse har vaeret saa rammende og er det stadig.. Jeg er vild med dig, og jeg haaber at du bliver ved med at dele dine tanker.;ANDET
kunne jeg vælge et instrument, ville jeg vælge klaver, niveauet skal ikke være Borge eller Liberace men Sigurd, så skulle der sat, me spilles boogie woogie og så ville jeg også kunne spille skipperklaver...;ANDET
Det var da godt nok det værste pjat jeg længe har hørt Ole. Du finansierer allerede kirken over den almindelige skat.Derudover så kunne du også have dine kære liggende på kirkegården og betale for det uden at være medlem.Altså har du i alle disse år unødvendigt betalt til en religion du ikke støtter.;ANDET
Jeg har været SÅ klar til FF lige siden det første P6 Beat Elsker-program!;ANDET
Mette Bundgaard Lauritzen jeg ville ikke flytte til et land der ikke havde værdier der var i overensstemmelse med mine værdier, ligesom jeg heller ikke ville flygte fra mit land pga krig, men isteddet gå under jorden og kæmpe for min frihed, vi skal selvfølgelig tage imod folk i reel nød, men de skal indordne sig efter vores samfund og ikke forsøge at ændre det til deres,Desværre er størstedelen af dem der bliver lukket ind kriminelle eller immigranter og ikke direkte flygtninge;ANDET
Læs op på global opvarmning, vores del af kloden vil blive koldere mens andre dele bliver varmere. Global opvarmning er ikke en løgn men hvor den kommer af er bestemt til diskussion.;ANDET
Pladder .... og gammel kommunisme;ANDET
Lea Hansen Naja Hansen;ANDET
Tobias Christensen Nicklas Frederiksen fuck en klam rundetrunte ??????;ANDET
Hvad snakker de om? Danmark kan gå ind i Rusland på bare en eftermiddag. Statsministeren skal bare knipse med fingeren ????;ANDET
maybe, don't know :I;ANDET
Jeg præsenterer heller ikke mig selv som småfed, men det ændrer sgu ikke på at jeg er det;ANDET
lad nu putin få krim og ukrine så spar eu at fylde dem medpenge og de får fred;ANDET
lille lars er ked af at han ikke ku få indflydelse da han var osten, lille lars er en snylter der kun vil ha men ikke gi...Patetisk personage;ANDET
forstår dem godt, individuelle aftaler er gift for sammenholdet;ANDET
Ved sgu-itte om jeg tør xD;ANDET
jeg var i Jellinge - min mand og jeg havde været på HI-messe i Herning - og på vej hjem stoppede vi i Jellinge for at få en kop kaffe på en sjov cafe med salg af smykker, tøj m.v.. Da min mand hentede bilen, brugte jeg tiden til at købe et sølvsmykke med en månesten - og  vi hørte  efterfølgende budskabet i radioen. Vi forsøgte at forestille os, hvad der var sket  - og stoppede bl.a. på rasteplads Knudshoved, hvor vi så de skrækkelige billeder.fra New York. Smykket jeg købte er mit 9.11. smykke og jeg har det altid på den 11. september.;ANDET
Miriam Stupak Møller !!!;ANDET
“Den står ikke snorlige”??;ANDET
Claus Baggesgaard Olsen ??;ANDET
Vores straffe er på for lav. Livstid for pædofili og voldtægt bør sættes op. Straffen for bedrageri og lignende er højere end straffen for at ødelægge et barns.;ANDET
Mathias Hovgaard Nielsen, det er dig????;ANDET
Det hører ikke hjemme i Danmark - længere er den ikke.;ANDET
Simon Emil Ammitzbøll (LA) en ufattelig nar at have siddende på tinge, han fatter ikke signalværdien af religiøse beklædninger, han fatter i det hele taget ikke ret meget;ANDET
Måske du er inde på det rette.Mon ikke folk er trætte af at stemme hvert 4 år på skuespillere som ikke lytter og som tager røven på dem der stemmer...Imens de står og påstår vi har et demokrati..Vores oldnordiske repræsentative demokrati ville selv rusland og kina være stolte afHvor vi kan stemme på en eller anden ubetydelig holdning hos et parti eller  politikker..Når virkeligheden er at ting skifter og at stemme på en skuespillers holdning hvert 4 år i år 2017 er det længste man kan komme fra demokrati..Især når tings tilstand skifter hurtigt sammen med holdninger hos vorgere og politkere (tit i hver sin retning)Det tager ikke et år for borgerne at få nyhederne ude på landet mereOg vi skal ikke låne en hest for at komme ind og stemmeVi kan tage stlling til ting med tlf og internet eller det postnord som vi abselut skal poste penge i selvom det intet formål harI et direkte demokrati betalte vi ikke for vores embedsmænd sad og sminkede tal så du kan bruge dem over for borgerne..Vi ville selv få lov til at tage stilling til den ekspertviden vi betaler for som politikkere gang på gang overhører..Og vi ville slippe for at stemme på skuespillere som er der for egen vindings skyld og for de firmaer der vil betale på den ene eller anden måde..Et pas foto fra eller til ændrer nok ikke det storeJeg har ikke det store behov for at se straffe fotos af de folk der har travlt med at fylde deres lommer med bogernes penge Så de kan fest i deres festlokaler imens de afviser folk i nød i døren selvom de har betalt festenMen held og lykke med projektet;ANDET
Tag dog  at åbne dine øjne . Eller er det fra forældre  at  de lære at feks hælde tjære ud på en hunds poter eller putte en kat i en pose og binde for den . Tape en hunds snude til .  At gå rundt om natten  med bla knive  at smide affald i parken   osv osv . Læs  læs hvad der sker i verden  det har du Hvis nok glemt alt om .  Men du er nok født igår  siden du ikke  har  opdaget  det;ANDET
?? til hver og en af jer!;ANDET
hahah yeah i saw it. Its epic;ANDET
Har set det, venter bare på en dato.;ANDET
Nej det går nu nok, alternativt så skal det i vores alm affald og også køres rundt,;ANDET
Nanett Myllerup Jensen ????????????;ANDET
De er nok slettet!;ANDET
Thomas Sandfeld Nielsen - det er ligesom når vi fisker.. Du fanger intet ????;ANDET
Martin Iversen Så betal da selv.;ANDET
"""Føde føde føde, av av, føde føde føde"" ?? Det er simpelthen for morsomt ??";ANDET
Jeg er mest til den originale film, med Omar Sharif i hovedrollen.;ANDET
Elisa Lund Friis du er en meget oprørsk type :-p;ANDET
Martin dead “grønland?” “Smeltet”;ANDET
jeg venter lige og hører hvilken dag hun spiller. Tror ikke jeg magter flere dage;ANDET
Bornholm er en naturlig fæstning. Ingen havde kunnet tvinge dem til, at forlade øen, hvis de ikke havde gjort det selv.;ANDET
"Ja, lad os da straffe de undertrykte med bøder. Det bliver de nemlig mindre undertrykte af. Hvad mon konsekvensen er? At undertrykkeren pludselig siger ""Nå for den, så tog jeg nok fejl, smid du bare burkaen"" ? Eller at den i forvejen undertrykte kvinde holdes indendøre? Det er sjovt så høje tanker højrefløjen pludselig har om mænd der undertrykker deres kvinder :P";ANDET
Puha- får helt tåre i øjnene ??;ANDET
Nej ? Seriøst. Meld os bare til :p hvad kunne det skade??;ANDET
En der ikek taler så godt dansk skal interviewe en andre godt kan tale dansk og så i stedet for at sige klipper siger han knepper.sådan forstod du det;ANDET
"Penn & Tellers ""video"" forklarer bare på fineste vis,  hvordan flokimmunitet og vacciner virker i praksis.";ANDET
45:00 sek. Inde i sangen ?? https://youtu.be/JmcA9LIIXWw;ANDET
Håber jeg også.. kunne læse i en anden artikel, at politiet overvejede om de skulle sendes tilbage til DK.. Hvorfor overveje? Bare send dem hjem! Især når de er blevet taget med kasteskyts..;ANDET
Joanna Kiim Netop.Men den oplysning putter samtlige politikere med.;ANDET
Mon man lige har travlt med at handle aktier inden starten af butikken? ..som foreslået af regeringen.;ANDET
Rasmus Munk Pedersen Rasmus Jørgensen haha;ANDET
"""Kan man få billige øl og solskin?""";ANDET
Nej.. Er bare ærlig;ANDET
Og vi andre vil af med De Radikale.;ANDET
Frank sådan er Jeanette vel ikke blevet endnu ????;ANDET
hahahha godt nok. Ellers må du bare sidde på maskinerne og køre hahaha;ANDET
Didde Falk du har også altid været og vil være den mest betydningsfulde person i mit liv ?? love you;ANDET
Ja for Søren da. Ingen genudsendelse men helt NY serie.????;ANDET
Åååh Gud !!!! Hvor er jeg dog træt af at alt skal handle om islam. Hvad er der galt med at have adskilte svømmehaller et par gange om ugen enkelte steder, hvis begge parter er tilfredse med beslutningen. Jeg kan simpelthen ikke forstå at vi i dagens Danmark ikke har vigtigere ting at snakke om, nu stopper i fanme. Hvad er demokratiet værd hvis den begrænser andres frihed og kalder det for særbehandling ligefrem. Man behøver ikke være muslim for at benytte disse slags svømmehaller, men er en mulighed for enhver kvinde/pige der måske vil føle sig bedre tilpas.;ANDET
Nawal Najem Chahrouk ????????????;ANDET
Mads GD Morten Stig Jensen;ANDET
Michella Kadri Törnqvist..  evt??;ANDET
Så så Orvad nu ingen sure opstød så tidlig lørdag morgen ????;ANDET
Næsten..sygeplejerskerne kunne godt forstå hende,  for de var jo vant til hende. At patienterne ikke kunne betød ikke så meget....;ANDET
Man kan bare se den igen igen ????;ANDET
Stærkt at man har et mål, og vil gøre alt for at overholde det. Stærkt.????????????????;ANDET
Amalie fundet af det her rum er mit nye argument for, at Nessie eksisterer;ANDET
Jeg har godt set det ?? men det er lige de der ekstra 24 timer i døgnet jeg mangler ??;ANDET
Den gode Kenneth Moe;ANDET
hold da op hvor er i søde begge to......??;ANDET
Ja det gør jeg ???;ANDET
Stooooop det lårt ??;ANDET
Desværre glemmer folk meget hurtigt...;ANDET
Sjovt nok vil de først betale når de har fingeren i kagedåsen, og er blevet afsløret. De skulle sigtes for bedrageri hele bundet, og smider ud af politik for evigt, i hvert fald der hvor vi skatteydere betaler deres løn.;ANDET
Borrelia, det er slemt og kræver lang genoptræning  - især hvis det er gået i nervesystemet. God bedring.;ANDET
Carl Edvard Mikkelsen jeg mener det jeg skriver der.;ANDET
Super fedt glæder mig til at se det;ANDET
Sara jeg græder ??????;ANDET
Esbjerg sygehus det er rigtig god mad .. ??;ANDET
Laila Enoch Joeanna Enoch SørensenHans Severin BergI love it ??????;ANDET
så bliv væk suresen;ANDET
Præmieren til Ringen, Siegfried, i den store opsætning i Musikhuset i Aarhus i 86. Jeg var 24 år og havde aldrig været til opera før, så det var som at stille op i en marathon uden nogensinde at have løbet en meter i sit liv. Jeg var slet ikke forberedt på det musikalske udfordring af ørerne, men der var så mange pudsige og morsomme situationerne af Storm P'ske dimensioner under, i og rundt om opførelsen, som desværre vil fylde for meget at beskrive på den lille plads her ?? Jeg nappede også Götterdämmerung og så var min Wagnerkvote fyldt op mange år frem. Lotte Heises passion for Wagner på P2 har sat lidt af mine indtryk fra 86 lidt på plads, så jeg hører det positivt anderledes end dengang.;ANDET
Tommy Møller  de lokale samfund ville acceptere dem hvis de siger hvem de er og ikke lyve af deres identitet. De taler Bengali og ser de sammed ud. (Jeg mener ikke at diskriminere af deres udseende)  De stammer fra Nabo Land og de skaber den etik, som vi aldrig har hørt om i vores historie. jeg er enige om at nogle af dem er ret til borgerskab. Men hvis Burma er nødt til give alle, der gider ikke følg reglerne, vil det skabe flere problemer i samfundet. Udover det  ligger Burma mellem store og befolket lande. Burma kan simpelthen ikke give borgerskab til alle alle ulander fra de nabo lande.  Efter 2012 forsøgte myndigheder at samarbejde med dem. Men de afslå. Mange af dem bliver fortalt at gøre så fra den håndfuld af mennesker, der kontrollerer. De er lobbyister, der bor i EU og tjener mass af penge. Den 25 August terroristangreb årsager tab af mulighed for at gennemføre  af Dr.Kofi Annans anbefalinger og de internationale media og samfund skylden for os.;ANDET
Joakim Vingaard Svensson ...der er makrel til frokost imorgen, når nej der har du fri, skal jeg bare åbne den og sætte den i dit skab????;ANDET
vi har de politikere siddende skal de bare sige nej de får jo deres penge allegevel;ANDET
Licens er noget vi giver til hinanden. Ligesom kønssygdomme og aids.;KLAGE
Alberte Lahn Pedersen shit;ANDET
Lisette Agnetha Eriksen er det dig? Hahaha....;ANDET
Der er jo så bare lige det MEN, at det skal godkendes af EU. Mig bekendt har tyskerne jo netop haft bøvl med at få DERES godkendt af EU fordi EU mente, at de tyske billister slap for at betale, idet de så blev kompenseret på anden måde.;ANDET
Michala R Schimmell slutningen ??;ANDET
Nicolai Dige Nielsen Frederik Klein Jacob Dahl Hahaha det squ okay ??;ANDET
Nedlæg lortet. ... eller ansæt læger med en vis erfaring.  Ikke nyuddannet som ingen erfaring har.  ????;ANDET
Cansu Oksuz Rawan Houji Hafsa Tahseen nu redder jeg jerrs dagen endnu mere;ANDET
Kan i ikke undlade at bande i programmet;KLAGE
Hahaha helt vildt, 60 af de lange ????????;ANDET
Julie Krogh Sofie Skotte Trampedach er flaaaaad????????;ANDET
Kennet Isaksson hvorfor kommer den idé først nu ??;ANDET
???? jo glæder mig helt vildt elsker også den gamle, men tro ikke jeg bliver skuffet.;ANDET
"Mikael Jørgensen ""altså hvorfor bliver det ikke varmt? Jeg fatter det ikke"" - mig omkring alting jeg begiver mig ud i ?????????";ANDET
Hahahaga tror jeg dør??????;ANDET
Nørrebro har fået præcis hvad de har stemt på, masser af islam. Mord, voldtægt og gaderøveri er gyldig jihad - så gør det ikke noget, at man samtidig tjener penge på det.;ANDET
Amena Latif det lyder da meget rigtigt??????;ANDET
Rasmus Holm.. pas nu på i barslen? ??;ANDET
Nikolaj Luca Kapteina og de udtaleser om at ramme guam var svar på trump, amerikanerne startede det, men i læser jo ikke aviser så fuck fuck;ANDET
Selvfølgelig var det et interview omkring Amager fælled, ingen andre af Danmarks naturfredningsforenings sager blev der henvist til. Hvis i reelt ønskede at lave interviewet om DN, så ville selv en nyuddannet journalist vide at man skal se på mere end èn sag.;KLAGE
Mikkel Dormann Lund - du ville dø ??;ANDET
når.. det skal du nok lige sige til dem der har skrevet artiklen, så de kan få det rettet :D;ANDET
Ja ???? De har jo nærmest bedre levevilkår end de hjemløse, og det bliver sikkert også bedre end på plejehjemmene. ???????????;ANDET
Daniel Matzen skal du være nærgående ? Hva ?! ????;ANDET
Skal du se sons of anarchy ????;ANDET
Når numsen klør og fingrene lugter ?????? hvorfor ondt i røven?;ANDET
ja man vil 100% sikkert gerne hjem på ferie , men kan man gøre det mens der er krig , er man ikke flygtning , noget andet når der er fred en dag;ANDET
Gitte Andersen dig som billist ????;ANDET
Danske skatteborgere støtter det danske mindretal i Tyskland med over en halv milliard kroner, så de kan gå i dansksprogede skoler, gå på dansksprogede biblioteker osv. Skal vi så stoppe med det?;ANDET
Ritha Kaja Dæhlie Jensen;ANDET
Å- nej,  er det ikke Uffe?;ANDET
Altså hvis man er sulten nok...;ANDET
Rabiya Basit ChauhanAleena Azam;ANDET
